dongCode,dongName,convenience_store,education,caf?,restaurant,health,market,avg_diff_convenience_store,avg_diff_education,avg_diff_caf?,avg_diff_restaurant,avg_diff_health,avg_diff_market,label_id
1129011100,삼선동1가,3,5,7,107,1,1,-12,-48,-47,-2138,-10,-7,NULL
1129011200,삼선동2가,4,10,6,156,1,5,-11,-43,-48,-2089,-10,-3,NULL
1129011300,삼선동3가,1,11,4,55,1,1,-14,-42,-50,-2190,-10,-7,NULL
1129011400,삼선동4가,2,8,13,116,1,1,-13,-45,-41,-2129,-10,-7,NULL
1129011500,삼선동5가,6,7,16,154,2,3,-9,-46,-38,-2091,-9,-5,NULL
1129011600,동선동1가,4,10,25,309,3,1,-11,-43,-29,-1936,-8,-7,NULL
1129011700,동선동2가,5,3,25,151,0,0,-10,-50,-29,-2094,-11,-8,NULL
1129011800,동선동3가,5,4,13,112,2,0,-10,-49,-41,-2133,-9,-8,NULL
1129011900,동선동4가,7,5,18,150,0,1,-8,-48,-36,-2095,-11,-7,NULL
1129012000,동선동5가,2,17,4,107,1,0,-13,-36,-50,-2138,-10,-8,NULL
1129012100,안암동1가,3,6,8,86,1,1,-12,-47,-46,-2159,-10,-7,NULL
1129012200,안암동2가,3,12,9,97,4,1,-12,-41,-45,-2148,-7,-7,NULL
1129012300,안암동3가,4,2,6,52,0,1,-11,-51,-48,-2193,-11,-7,NULL
1129012400,안암동4가,2,1,6,39,1,0,-13,-52,-48,-2206,-10,-8,NULL
1129012500,안암동5가,27,18,83,595,7,6,12,-35,29,-1650,-4,-2,003
1129012600,보문동4가,0,0,9,53,2,1,-15,-53,-45,-2192,-9,-7,NULL
1129012700,보문동5가,1,4,7,74,0,1,-14,-49,-47,-2171,-11,-7,NULL
1129012800,보문동6가,2,5,4,56,2,0,-13,-48,-50,-2189,-9,-8,NULL
1129012900,보문동7가,1,4,2,82,0,2,-14,-49,-52,-2163,-11,-6,NULL
1129013000,보문동1가,7,3,7,67,3,1,-8,-50,-47,-2178,-8,-7,NULL
1129013100,보문동2가,3,3,6,79,0,1,-12,-50,-48,-2166,-11,-7,NULL
1129013200,보문동3가,1,3,0,12,0,0,-14,-50,-54,-2233,-11,-8,NULL
1129013300,정릉동,55,170,112,1906,24,33,40,117,58,-339,13,25,002
1129013400,길음동,24,180,78,1291,16,15,9,127,24,-954,5,7,002
1129013500,종암동,24,108,54,953,16,14,9,55,0,-1292,5,6,002
1129013600,하월곡동,21,92,94,1055,13,17,6,39,40,-1190,2,9,003
1129013700,상월곡동,7,10,20,201,1,4,-8,-43,-34,-2044,-10,-4,NULL
1129013800,장위동,30,81,51,1129,10,12,15,28,-3,-1116,-1,4,002
1129013900,석관동,19,61,51,988,16,8,4,8,-3,-1257,5,0,002
1130510100,미아동,80,249,199,3689,45,47,65,196,145,1444,34,39,004
1130510200,번동,34,80,70,1230,24,27,19,27,16,-1015,13,19,002
1130510300,수유동,65,173,190,3575,38,41,50,120,136,1330,27,33,004
1130510400,우이동,9,21,25,383,1,8,-6,-32,-29,-1862,-10,0,NULL
1132010500,쌍문동,44,245,120,2064,35,30,29,192,66,-181,24,22,002
1132010600,방학동,40,156,118,2021,35,19,25,103,64,-224,24,11,002
1132010700,창동,75,281,178,2760,47,45,60,228,124,515,36,37,004
1132010800,도봉동,35,51,76,1109,13,15,20,-2,22,-1136,2,7,003
1135010200,월계동,46,159,97,1586,28,39,31,106,43,-659,17,31,002
1135010300,공릉동,59,180,178,2156,38,33,44,127,124,-89,27,25,002
1135010400,하계동,13,75,36,583,11,12,-2,22,-18,-1662,0,4,002
1135010500,상계동,108,539,328,5223,80,53,93,486,274,2978,69,45,004
1135010600,중계동,43,469,147,2356,48,26,28,416,93,111,37,18,002
1138010100,수색동,3,15,15,269,3,3,-12,-38,-39,-1976,-8,-5,NULL
1138010200,녹번동,22,58,53,809,5,14,7,5,-1,-1436,-6,6,001
1138010300,불광동,36,126,68,1437,21,16,21,73,14,-808,10,8,002
1138010400,갈현동,44,140,114,1848,21,21,29,87,60,-397,10,13,002
1138010500,구산동,12,56,37,498,7,10,-3,3,-17,-1747,-4,2,002
1138010600,대조동,26,57,67,1158,19,12,11,4,13,-1087,8,4,003
1138010700,응암동,35,155,154,2243,32,19,20,102,100,-2,21,11,002
1138010800,역촌동,31,78,85,1146,19,14,16,25,31,-1099,8,6,003
1138010900,신사동,24,94,67,904,6,14,9,41,13,-1341,-5,6,002
1138011000,증산동,13,57,32,437,7,4,-2,4,-22,-1808,-4,-4,002
1138011400,진관동,32,206,122,1345,16,18,17,153,68,-900,5,10,002
1141010100,충정로2가,5,2,11,134,6,0,-10,-51,-43,-2111,-5,-8,NULL
1141010200,충정로3가,9,13,27,343,6,4,-6,-40,-27,-1902,-5,-4,NULL
1141010300,합동,1,2,5,66,1,0,-14,-51,-49,-2179,-10,-8,NULL
1141010400,미근동,2,1,12,88,1,0,-13,-52,-42,-2157,-10,-8,NULL
1141010500,냉천동,1,8,9,108,1,0,-14,-45,-45,-2137,-10,-8,NULL
1141010600,천연동,2,11,2,57,0,1,-13,-42,-52,-2188,-11,-7,NULL
1141010700,옥천동,0,1,1,44,0,3,-15,-52,-53,-2201,-11,-5,NULL
1141010800,영천동,2,9,12,167,4,3,-13,-44,-42,-2078,-7,-5,NULL
